id,datetime,orbit_number,bbox,coverage_percentage
S1A_IW_GRDH_1SDV_20230903T170138_20230903T170203_050166_0609A9_1B43_COG.SAFE,2023-09-03 17:01:38+00:00,,"[8.73431774591291, 54.203442338355764, 13.079943247187837, 56.091941752929]",0
S1A_IW_GRDH_1SDV_20230908T170956_20230908T171021_050239_060C22_3416_COG.SAFE,2023-09-08 17:09:56+00:00,,"[6.597355375103572, 54.41193604886443, 10.970815802582486, 56.30120946094397]",0
S1A_IW_GRDH_1SDV_20230915T170139_20230915T170204_050341_060F94_7BFA_COG.SAFE,2023-09-15 17:01:39+00:00,,"[8.736420110208947, 54.20368382348103, 13.082183639746617, 56.09216591817467]",0
S1A_IW_GRDH_1SDV_20230920T170956_20230920T171021_050414_061219_3391_COG.SAFE,2023-09-20 17:09:56+00:00,,"[6.598572290051938, 54.41192009738444, 10.972045092262595, 56.30125232074706]",0
S1A_IW_GRDH_1SDV_20230927T170139_20230927T170204_050516_061592_A1B7_COG.SAFE,2023-09-27 17:01:39+00:00,,"[8.735881717777453, 54.203622462873966, 13.08164085570456, 56.09205203771843]",0
S1A_IW_GRDH_1SDV_20231002T170956_20231002T171021_050589_06181B_274D_COG.SAFE,2023-10-02 17:09:56+00:00,,"[6.597919105219628, 54.41172955180434, 10.971807295384954, 56.301023824419985]",0
S1A_IW_GRDH_1SDV_20231009T170139_20231009T170204_050691_061B94_AC6F_COG.SAFE,2023-10-09 17:01:39+00:00,,"[8.734672411387226, 54.20333504482349, 13.080503781126973, 56.09190675667634]",0
S1A_IW_GRDH_1SDV_20231014T170956_20231014T171021_050764_061E1C_7906_COG.SAFE,2023-10-14 17:09:56+00:00,,"[6.599354092879853, 54.41152656020135, 10.97335995052679, 56.30081822576522]",0
S1A_IW_GRDH_1SDV_20231021T170139_20231021T170204_050866_062187_1F95_COG.SAFE,2023-10-21 17:01:39+00:00,,"[8.732249135269406, 54.20318167035893, 13.07824494770341, 56.091788659327165]",0
S1A_IW_GRDH_1SDV_20231102T170138_20231102T170203_051041_062789_E0F3_COG.SAFE,2023-11-02 17:01:38+00:00,,"[8.734675342956216, 54.20306149987764, 13.080905430303197, 56.09157766118798]",0
S1A_IW_GRDH_1SDV_20231107T170955_20231107T171020_051114_062A12_CAAF_COG.SAFE,2023-11-07 17:09:55+00:00,,"[6.598964208892989, 54.41151943529341, 10.973161979226802, 56.300857812443994]",0
S1A_IW_GRDH_1SDV_20231114T170138_20231114T170203_051216_062D96_F442_COG.SAFE,2023-11-14 17:01:38+00:00,,"[8.734209785809012, 54.203163616796715, 13.08041598005169, 56.091642161925904]",0
S1A_IW_GRDH_1SDV_20231119T170956_20231119T171021_051289_063021_AB49_COG.SAFE,2023-11-19 17:09:56+00:00,,"[6.595467245437058, 54.41132085451937, 10.969850214363642, 56.300717607943824]",0
S1A_IW_GRDH_1SDV_20231126T170138_20231126T170203_051391_06339A_5E1C_COG.SAFE,2023-11-26 17:01:38+00:00,,"[8.735441234865894, 54.20301377448009, 13.081821114871394, 56.09159065183087]",0
